"","_id","REPORT_YEAR","CATEGORY","SUBTYPE","ASSAULT_SUBTYPE","SEX","AGE_GROUP","AGE_COHORT","COUNT_"
"1",1,2019,"Crimes Against the Person","Assault","Assault Peace Officer","F","Adult","45 to 54","4"
"2",2,2019,"Crimes Against the Person","Assault","Assault Resist Arrest","F","Adult","55 to 64","2"
"3",3,2023,"Crimes Against the Person","Assault","Other","U","Adult","35 to 44","7"
"4",4,2023,"Crimes Against the Person","Assault","Other","F","Adult","65+","490"
"5",5,2019,"Crimes Against the Person","Other","N/A","M","Adult","35 to 44","311"
"6",6,2015,"Crimes Against the Person","Other","N/A","U","Adult","25 to 34","1"
"7",7,2023,"Crimes Against the Person","Assault","Assault Peace Officer","U","Unknown","Unknown","7"
"8",8,2017,"Crimes Against the Person","Sexual Violation","N/A","M","Adult","65+","6"
"9",9,2016,"Crimes Against the Person","Assault","Assault Resist Arrest","M","Adult","45 to 54","24"
"10",10,2015,"Crimes Against the Person","Other","N/A","M","Child","<12","90"
"11",11,2021,"Crimes Against the Person","Assault","Assault Resist Arrest","F","Adult","35 to 44","10"
"12",12,2017,"Crimes Against the Person","Assault","Assault Resist Arrest","F","Unknown","Unknown","7"
"13",13,2016,"Crimes Against the Person","Other","N/A","F","Adult","18 to 24","471"
"14",14,2014,"Crimes Against the Person","Robbery","N/A","M","Adult","25 to 34","422"
"15",15,2017,"Crimes Against the Person","Assault","Assault Peace Officer","U","Unknown","Unknown","2"
"16",16,2014,"Crimes Against the Person","Sexual Violation","N/A","F","Unknown","Unknown","23"
"17",17,2019,"Crimes Against the Person","Robbery","N/A","U","Adult","25 to 34","5"
"18",18,2019,"Crimes Against the Person","Assault","Assault Peace Officer","M","Adult","35 to 44","37"
"19",19,2021,"Crimes Against the Person","Assault","Assault Peace Officer Weapon/Bodily Harm","F","Adult","35 to 44","1"
"20",20,2022,"Crimes Against the Person","Assault","Assault Peace Officer Weapon/Bodily Harm","M","Adult","35 to 44","8"
"21",21,2016,"Crimes Against the Person","Assault","Other","M","Child","<12","519"
"22",22,2018,"Crimes Against the Person","Other","N/A","M","Adult","25 to 34","482"
"23",23,2018,"Crimes Against the Person","Assault","Other","F","Adult","25 to 34","2166"
